loss=0.0023, MC price=0.0441, predicted=0.0528
loss=0.0013, MC price=0.0433, predicted=0.0542
loss=0.0020, MC price=0.0445, predicted=0.0523
loss=0.0040, MC price=0.0449, predicted=0.0511
loss=0.0021, MC price=0.0441, predicted=0.0536
loss=0.0014, MC price=0.0455, predicted=0.0527
loss=0.0031, MC price=0.0440, predicted=0.0519
loss=0.0013, MC price=0.0459, predicted=0.0535
loss=0.0019, MC price=0.0437, predicted=0.0532
loss=0.0017, MC price=0.0465, predicted=0.0527
loss=0.0018, MC price=0.0427, predicted=0.0535
loss=0.0052, MC price=0.0442, predicted=0.0498
loss=0.0017, MC price=0.0479, predicted=0.0525
loss=0.0013, MC price=0.0422, predicted=0.0543
loss=0.0019, MC price=0.0437, predicted=0.0528
loss=0.0013, MC price=0.0432, predicted=0.0538
loss=0.0016, MC price=0.0433, predicted=0.0544
loss=0.0016, MC price=0.0456, predicted=0.0514
loss=0.0012, MC price=0.0449, predicted=0.0531
loss=0.0021, MC price=0.0426, predicted=0.0547
loss=0.0011, MC price=0.0461, predicted=0.0542
loss=0.0016, MC price=0.0454, predicted=0.0533
loss=0.0013, MC price=0.0436, predicted=0.0542
loss=0.0018, MC price=0.0443, predicted=0.0528
loss=0.0012, MC price=0.0445, predicted=0.0531
loss=0.0017, MC price=0.0426, predicted=0.0530
loss=0.0020, MC price=0.0457, predicted=0.0544
loss=0.0015, MC price=0.0441, predicted=0.0533
loss=0.0016, MC price=0.0458, predicted=0.0525
loss=0.0013, MC price=0.0441, predicted=0.0521
loss=0.0021, MC price=0.0452, predicted=0.0521
loss=0.0014, MC price=0.0445, predicted=0.0536
loss=0.0047, MC price=0.0445, predicted=0.0500
loss=0.0034, MC price=0.0456, predicted=0.0515
loss=0.0014, MC price=0.0444, predicted=0.0521
loss=0.0027, MC price=0.0452, predicted=0.0516
loss=0.0025, MC price=0.0453, predicted=0.0524
loss=0.0043, MC price=0.0466, predicted=0.0500
loss=0.0022, MC price=0.0458, predicted=0.0512
loss=0.0025, MC price=0.0442, predicted=0.0509
loss=0.0023, MC price=0.0439, predicted=0.0516
loss=0.0011, MC price=0.0458, predicted=0.0525
loss=0.0011, MC price=0.0462, predicted=0.0538
loss=0.0013, MC price=0.0432, predicted=0.0512
loss=0.0013, MC price=0.0463, predicted=0.0530
loss=0.0011, MC price=0.0442, predicted=0.0531
loss=0.0019, MC price=0.0453, predicted=0.0525
loss=0.0024, MC price=0.0454, predicted=0.0507
loss=0.0012, MC price=0.0441, predicted=0.0528
loss=0.0020, MC price=0.0465, predicted=0.0534
loss=0.0015, MC price=0.0437, predicted=0.0524
loss=0.0020, MC price=0.0447, predicted=0.0511
loss=0.0013, MC price=0.0436, predicted=0.0526
loss=0.0016, MC price=0.0443, predicted=0.0534
loss=0.0012, MC price=0.0445, predicted=0.0530
loss=0.0026, MC price=0.0447, predicted=0.0511
loss=0.0014, MC price=0.0432, predicted=0.0525
loss=0.0016, MC price=0.0430, predicted=0.0534
loss=0.0012, MC price=0.0429, predicted=0.0530
loss=0.0013, MC price=0.0448, predicted=0.0528
loss=0.0012, MC price=0.0449, predicted=0.0527
loss=0.0031, MC price=0.0485, predicted=0.0498
loss=0.0020, MC price=0.0435, predicted=0.0506
loss=0.0018, MC price=0.0451, predicted=0.0520
loss=0.0011, MC price=0.0437, predicted=0.0524
loss=0.0015, MC price=0.0432, predicted=0.0537
loss=0.0015, MC price=0.0445, predicted=0.0519
loss=0.0023, MC price=0.0433, predicted=0.0505
loss=0.0015, MC price=0.0432, predicted=0.0514
loss=0.0015, MC price=0.0435, predicted=0.0529

=== FINAL COMPARISON ===
Closed-form : 0.0408
Deep PPDE   : 0.0529
Monte Carlo : 0.0448
